,service_request_id,grievance,translated
31,101004371854,Water shutoff sinking,[start] agua se [UNK] el [UNK] [end]
32,101004364784,Please remove cones,[start] por favor [UNK] el que se [UNK] a la tom [end]
33,101004365552,Illegal parking,[start] los [UNK] [end]
34,101004360558,Flatbed truck,[start] [UNK] camión [end]
35,101004365703,Blocking emergency access,[start] [UNK] en la el [UNK] [end]
36,101004371486,Multiple needles,[start] la [UNK] [end]
37,101004371693,Please do something about this crushing hazard,[start] por favor haz algo de esto con sobre su [UNK] [end]
38,101004371538,Shattered bottles,[start] la [UNK] [end]
39,101004371604,Graffiti at Healey,[start] el lado está en el que [UNK] [end]
40,101004329864,"Graffiti covered car, smashed windows",[start] el baño sale [UNK] [UNK] [UNK] [end]
41,101004328533,Abandoned Suburu WRX - Grey,[start] el [UNK] la [UNK] de no [UNK] [end]
42,101004371582,Dead ground hog,[start] los días murió [end]
43,101004371566,Bed  frame on sidewalk,[start] la cama [UNK] por la [UNK] [end]
44,101004370771,Trash all over yard,[start] el manera de [UNK] [UNK] [end]
45,101004371512,Pothole,[start] [UNK] [end]
46,101004371496,National grid cutout sinking,[start] las [UNK] se [UNK] se [UNK] [end]
47,101004209302,Two abandoned trailers,[start] dos se [UNK] dos de la gente [UNK] [end]
48,101004371186,Dead tree,[start] ha sido [UNK] [end]
49,101004371291,NY car in RPP,[start] el auto [UNK] en [UNK] [end]
50,101003955965,Street light out,[start] se [UNK] la luz [end]
51,101004371202,Glass broken,[start] vaso se rompió [end]
52,101004371173,Dead squirrel in road,[start] la segunda calle [end]
53,101004371197,Spray paint on house,[start] la pintar en casa [end]
54,101004371171,Litter,[start] [UNK] [end]
55,101004371168,Glass purposely smashed on sidewalk,[start] el [UNK] hizo [UNK] en la [UNK] [end]
56,101004359974,Swings need geasing. They're all very loud,[start] el [UNK] de que todo [UNK] que están muy [UNK] [end]
57,101004365314,slide and other parts of playground broken,[start] la [UNK] la línea de en los de no que [UNK] [end]
58,101004371091,Wheel chair abandoned.,[start] la silla es que está en [UNK] [end]
59,101004370930,Sign is knocked over,[start] la [UNK] se golpeó [end]
60,101004369275,"2 large, wide potholes in public alley",[start] las grandes grandes han [UNK] en este público el a [end]
61,101004370660,Dogs are hot and thirsty,[start] los perros son de aire de tomás y está de aire [end]
62,101004370413,My recycle has not been picked up.,[start] mi abuela no había tomado nada [end]
63,101004370816,Bicycle locked to a fire hydrant,[start] bicicleta [UNK] con un fuego de la [UNK] por la [UNK] [end]
64,101004370583,Overgrown vacant lot,[start] el [UNK] [UNK] [end]
65,101004358606,Bed and night table in park,[start] la cama [UNK] y noche en parque [end]
66,101004370701,Stop sign damage,[start] ¡no [UNK] con ¡no [end]
67,101004368140,Several used condoms in PARK,[start] otro que hay muchos días en el parque [end]
68,101004211194,Flat tires,[start] el [UNK] de [end]
69,101004366736,Broken glass by bleachers,[start] cierra vaso de [UNK] [end]
70,101004370471,TV on sidewalk,[start] la televisión de esto [end]
71,101004368713,Please sweep,[start] [UNK] [end]
72,101004369893,Missed trash pickup.,[start] para el manera [UNK] del lado [end]
73,101004370442,Burned-out mantles,[start] [UNK] en la [UNK] [end]
74,101004370199,Empty bottles,[start] vacía la gente pasa [end]
75,101004370449,tree pit and tree need pruning,[start] [UNK] y a donde [UNK] de [UNK] son [UNK] [end]
76,101004366396,Please repaint crosswalk,[start] por favor [UNK] el [UNK] [end]
77,101004369979,Graffiti at Little Scobie,[start] el lado está en poco de [UNK] [end]
78,101004365073,"Abandoned car, has been there for weeks",[start] el coche de [UNK] hace unas semanas [end]
79,101004366053,Sign looks a little bent,[start] se ve unos [UNK] menor [end]
80,101003777682,Please trim brush along path,[start] por favor [UNK] el camino [end]
81,101004361898,Sign is askew,[start] tom está [UNK] [end]
82,101004370036,Abandoned bike,[start] [UNK] [end]
83,101004369000,Small fridge on sidewalk,[start] estaba en la no [UNK] [end]
84,101004369155,Homeless left trash,[start] el lugar [UNK] [end]
85,101004360441,Squeaky swings at tot lot,[start] el [UNK] de acuerdo con mucha [UNK] [end]
86,101004369660,Car parked illegal in tow zone.,[start] el coche es a [UNK] de [UNK] [UNK] [end]
87,101004369519,Non resident in resident only spot,[start] el [UNK] de la escuela [UNK] solo en lugar [end]
88,101004369733,A huge pothole on Birmingham parkway,[start] un gran [UNK] a él [UNK] [end]
89,101004365053,Trash all over sidewalk,[start] el manera de que [UNK] [UNK] [end]
90,101004369590,Many cars double parked,[start] muchos larga los hizo que [UNK] [end]
91,101004369557,Excess trash outside bin,[start] el camino de segunda [UNK] [end]
92,101004369447,Trash overfilled.,[start] el lugar se [UNK] de la segunda mano [end]
93,101004369393,Dead bunny,[start] la [UNK] a la habitación [end]
94,101004365238,Dead plants from city function.,[start] las de la ciudad [UNK] las de la gente de su vida [end]
95,101004368240,Sidewalk not passable,[start] no [UNK] la clase de [UNK] [end]
96,101004368698,USPS box needs power wash,[start] la caja de la que necesita cambiar [end]
97,101004368660,Sinkhole growing more everyday,[start] el baño [UNK] [end]
98,101004363866,Cut weeds growing out of city sidewalk,[start] la malas [UNK] de una ciudad de la [UNK] [end]
99,101004363883,Lots of trash at bus stop,[start] el lugar de la segunda [UNK] [end]
