,service_request_id,grievance,translated
76,101004366396,Please repaint crosswalk,Por favor repintado
77,101004369979,Graffiti at Little Scobie,Graffiti en Little Scobie
78,101004365073,"Abandoned car, has been there for weeks","Coche abandonado, ha estado allí durante semanas"
79,101004366053,Sign looks a little bent,El letrero se ve un poco doblado
80,101003777682,Please trim brush along path,"Por favor, recorte el cepillo a lo largo del camino"
81,101004361898,Sign is askew,El signo es Askew
82,101004370036,Abandoned bike,Bicicleta abandonada
83,101004369000,Small fridge on sidewalk,Nevera pequeña en la acera
84,101004369155,Homeless left trash,Basura izquierda sin hogar
85,101004360441,Squeaky swings at tot lot,Sweaky Swings en Tot Lot
86,101004369660,Car parked illegal in tow zone.,Car estacionado ilegal en la zona de remolque.
87,101004369519,Non resident in resident only spot,No residente en el lugar de los residentes solo
88,101004369733,A huge pothole on Birmingham parkway,Un enorme bache en Birmingham Parkway
89,101004365053,Trash all over sidewalk,Basura por toda la acera
90,101004369590,Many cars double parked,Muchos autos se estacionaron
91,101004369557,Excess trash outside bin,Exceso de basura fuera del contenedor
92,101004369447,Trash overfilled.,Basura sobrealimada.
93,101004369393,Dead bunny,Conejito
94,101004365238,Dead plants from city function.,Plantas muertas de la función de la ciudad.
95,101004368240,Sidewalk not passable,Acera no pasable
96,101004368698,USPS box needs power wash,USPS Box necesita lavado de energía
97,101004368660,Sinkhole growing more everyday,Sumidero de sumidero más todos los días
98,101004363866,Cut weeds growing out of city sidewalk,Cortar las malas hierbas que crecen fuera de la acera de la ciudad
99,101004363883,Lots of trash at bus stop,Mucha basura en la parada de autobús
